Translated_Comment,Cleaned_Translated_Comment,Sentiment_Scores,Sentiment_Compound,Sentiment_Label,lstm_sentiment_labeling,lstm_sentiment_score,lstm_matches_vader,roberta_sentiment_labeling,roberta_sentiment_score,distilbert_sentiment_labeling,distilbert_sentiment_score
Apparently it's been around since 2000.  So nothing new here.,apparently its been around since 2000 so nothing new here,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.6496571,1,Neutral,0.779512465,Negative,0.912978411
"**Everyone** ""its just a cold""  **Me** ""back to the bunker""",everyone its just a cold me back to the bunker,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.61934674,1,Negative,0.673138797,Negative,0.952978432
 have had HMPV here in Australia since before Christmas after attending a Christmas party. 8 of the group got sick at the same time.,have had hmpv here in australia since before christmas after attending a christmas party 8 of the group got sick at the same time,"{'neg': 0.118, 'neu': 0.786, 'pos': 0.096, 'compound': -0.1531}",-0.1531,Negative,Negative,0.7840195,1,Negative,0.867156744,Negative,0.90470922
Iâ€:trade_mark:ve got this right now and have been symptomatic for 26 days. It is severe.,iâtrade_markve got this right now and have been symptomatic for 26 days it is severe,"{'neg': 0.157, 'neu': 0.843, 'pos': 0.0, 'compound': -0.3818}",-0.3818,Negative,Neutral,0.9483002,0,Negative,0.882806301,Negative,0.969404817
2020 was a WTF year and there was covid. 2025 is a WTF year and there is hmpv.,2020 was a wtf year and there was covid 2025 is a wtf year and there is hmpv,"{'neg': 0.322, 'neu': 0.678, 'pos': 0.0, 'compound': -0.8225}",-0.8225,Negative,Negative,0.94817364,1,Negative,0.914865613,Positive,0.688412011
"virus explosion in China and wildfire in California, remind you of something? oh yeah, 2019, a year before pandemic",virus explosion in china and wildfire in california remind you of something oh yeah 2019 a year before pandemic,"{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.296}",0.296,Positive,Positive,0.9100411,1,Negative,0.519323766,Positive,0.750084341
"This is not real news. The Hmpv virus is the common flu.  No proof of anything and no confirmation on the ground and they still report on it !!  This is just bad journalism, no one serious is reporting on this anywhere around the world â€¦.  This news is pure FEAR MONGERING",this is not real news the hmpv virus is the common flu no proof of anything and no confirmation on the ground and they still report on it this is just bad journalism no one serious is reporting on this anywhere around the world â this news is pure fear mongering,"{'neg': 0.286, 'neu': 0.694, 'pos': 0.02, 'compound': -0.938}",-0.938,Negative,Negative,0.8151113,1,Negative,0.934069991,Negative,0.990784645
Itâ€:trade_mark:s fine this is all talk if itâ€:trade_mark:s been around in Australia that long Iâ€:trade_mark:m sure we are all fine,itâtrade_marks fine this is all talk if itâtrade_marks been around in australia that long iâtrade_markm sure we are all fine,"{'neg': 0.0, 'neu': 0.742, 'pos': 0.258, 'compound': 0.5994}",0.5994,Positive,Positive,0.5716749,1,Positive,0.710356474,Positive,0.852769911
First found....eg...developed,first foundegdeveloped,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.9864563,1,Neutral,0.744788826,Negative,0.573931396
"ok,if you say it will be another covid,how can you explain this? 1.if this is really gonna be serious like Covid,why is the airport not shutting down? 2.this shit ainâ€:trade_mark:t even spreading quickly as covid. 3.Its discovered in 2001.Not discovered new. 4.the symptoms are way less dangerous than covid,itâ€:trade_mark:s just cold and stuff. 5.similar to 4,the symptoms in covid is super deadly,cancer-causing,and could lead to life-threatening disease,unlike hmpv,just a cold or flu and thatâ€:trade_mark:s all. 6.the people in China are doing completely fine,nor the hospital being crowded,this is a red flag of it being clickbait. The news really have to shut up and normalize a flu season mild virus.If Iâ€:trade_mark:m wrong,correct me.",okif you say it will be another covidhow can you explain this 1if this is really gonna be serious like covidwhy is the airport not shutting down 2this shit ainâtrade_markt even spreading quickly as covid 3its discovered in 2001not discovered new 4the symptoms are way less dangerous than coviditâtrade_marks just cold and stuff 5similar to 4the symptoms in covid is super deadlycancercausingand could lead to lifethreatening diseaseunlike hmpvjust a cold or flu and thatâtrade_marks all 6the people in china are doing completely finenor the hospital being crowdedthis is a red flag of it being clickbait the news really have to shut up and normalize a flu season mild virusif iâtrade_markm wrongcorrect me,"{'neg': 0.106, 'neu': 0.843, 'pos': 0.051, 'compound': -0.6976}",-0.6976,Negative,Negative,0.6906831,1,Negative,0.886272132,Negative,0.907252312
"Me thinketh the latest research from the medical., experts suggest that the wearing of one blue and one red sock will protect people from any and all........monsters!@!?ðŸ¤ªðŸ˜‰ðŸ¤‘ðŸ¤‘ðŸ¤‘",me thinketh the latest research from the medical experts suggest that the wearing of one blue and one red sock will protect people from any and allmonstersðÿªðÿðÿðÿðÿ,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.3818}",0.3818,Positive,Positive,0.8187974,1,Neutral,0.701247752,Positive,0.715167224
Oh how convenient!,oh how convenient,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.9332905,1,Positive,0.894959271,Positive,0.926600635
Stuck in limbo we are,stuck in limbo we are,"{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.25}",-0.25,Negative,Neutral,0.602424,0,Negative,0.663608968,Negative,0.921139181
Originated in china!? Why am I not surprisedâ€¦.,originated in china why am i not surprisedâ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.9871859,1,Negative,0.554483652,Negative,0.793440759
they expect us to fall for this nonsense again ..?,they expect us to fall for this nonsense again,"{'neg': 0.281, 'neu': 0.719, 'pos': 0.0, 'compound': -0.481}",-0.481,Negative,Negative,0.7496217,1,Negative,0.876694083,Negative,0.959958315
Influenza Aand B is worse,influenza aand b is worse,"{'neg': 0.437, 'neu': 0.563, 'pos': 0.0, 'compound': -0.4767}",-0.4767,Negative,Negative,0.9594469,1,Negative,0.888952971,Negative,0.976862907
Another drama of labour which ruined VIC,another drama of labour which ruined vic,"{'neg': 0.341, 'neu': 0.659, 'pos': 0.0, 'compound': -0.4767}",-0.4767,Negative,Negative,0.87069017,1,Negative,0.885863841,Negative,0.920220554
 had it me 12 took antibiotics and some lemon and ginger tea also cough medicine am good now,had it me 12 took antibiotics and some lemon and ginger tea also cough medicine am good now,"{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.4404}",0.4404,Positive,Positive,0.89291143,1,Positive,0.685731709,Positive,0.845773637
More lies and Bullshit from MSM and Big Pharma.,more lies and bullshit from msm and big pharma,"{'neg': 0.506, 'neu': 0.494, 'pos': 0.0, 'compound': -0.7996}",-0.7996,Negative,Negative,0.9741576,1,Negative,0.78131187,Negative,0.95701009
Are they getting 5 year olds to write these science fiction stories now ?,are they getting 5 year olds to write these science fiction stories now,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.89528054,1,Negative,0.506084085,Negative,0.516470373
"And so the scam begins again. No interventions for me, mandated or not. My body my choice remember?",and so the scam begins again no interventions for me mandated or not my body my choice remember,"{'neg': 0.279, 'neu': 0.721, 'pos': 0.0, 'compound': -0.7334}",-0.7334,Negative,Negative,0.93156964,1,Negative,0.835945249,Negative,0.810865402
alll lies of big pharma,alll lies of big pharma,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.4215}",-0.4215,Negative,Negative,0.91643095,1,Negative,0.569758832,Negative,0.851788044
"Oh get a grip, its a cold. Stop that music to exaggerating this bullshit. Media outlets and politicians lie to us the first time around so now they going to be honest???",oh get a grip its a cold stop that music to exaggerating this bullshit media outlets and politicians lie to us the first time around so now they going to be honest,"{'neg': 0.212, 'neu': 0.705, 'pos': 0.083, 'compound': -0.6249}",-0.6249,Negative,Negative,0.8880705,1,Negative,0.89301151,Negative,0.775843799
"Phew, luckily Australia just paid $100million for a mRNA vaccine facility. Incredible timing.",phew luckily australia just paid 100million for a mrna vaccine facility incredible timing,"{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.5106}",0.5106,Positive,Positive,0.57135063,1,Positive,0.936693549,Positive,0.907132387
we're not falling for it again,were not falling for it again,"{'neg': 0.0, 'neu': 0.776, 'pos': 0.224, 'compound': 0.1139}",0.1139,Positive,Positive,0.54517263,1,Negative,0.611001194,Negative,0.777690828
Why dont you people shut the airports down?,why dont you people shut the airports down,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.9832156,1,Negative,0.869844198,Negative,0.908292413
